data_id,keep
8418153,1
8399730,1
8399727,1
7974726,1
7934449,1
7923525,1
7923256,1
7898329,1
7898551,1
7898570,1
7898555,1
7923948,1
8478322,1
8478321,1
8260598,1
7766647,1
7766657,1
8260694,1
7751557,1
8478236,1
7751899,1
7766952,1
8479154,1
7717091,1
7667394,1
8478129,1
7615701,1
8478051,1
8479448,1
8261362,1
8261364,1
8425021,1
8005300,1
8478039,1
8479156,1
8478683,1
8425016,1
7613329,1
7613307,1
8261552,1
7717034,1
8478649,1
8261671,1
8478020,1
7614521,1
8479199,1
7814174,1
8261816,1
7612450,1
7923896,1
8262134,1
7610826,1
7716983,1
7609994,1
8262646,1
7717349,1
7716981,1
7609159,1
7608618,1
8200309,1
8477883,1
8477885,1
8477865,1
8364757,1
7607036,1
8425400,1
7606203,1
8477842,1
8477841,1
8200058,1
8477837,1
7717360,1
8200059,1
7739802,1
8263831,1
8477831,1
8263862,1
7752150,1
8374032,1
8424884,1
7753682,1
7604632,1
7604066,1
7604108,1
8478099,1
7668341,1
8478024,1
8264067,1
8361867,1
8425188,1
8478584,1
8264075,1
8478581,1
7597846,1
8365228,1
8363804,1
8478586,1
8264181,1
7597424,1
7612392,1
7753541,1
7596858,1
7752768,1
8478568,1
7597174,1
7752746,1
7596610,1
7667553,1
7596661,1
7753661,1
8478401,1
8478395,1
8478383,1
7596684,1
8425134,1
8478384,1
8478273,1
8478161,1
7740509,1
7595702,1
8361980,1
7595549,1
8361938,1
8362352,1
7594076,1
7668604,1
7594068,1
7594388,1
8364595,1
8363823,1
8364593,1
8478571,1
8425133,1
8362065,1
8362080,1
7593859,1
8363681,1
8363357,1
8478052,1
8361840,1
8478602,1
7595175,1
8425440,1
7751483,1
7605213,1
7740180,1
7668694,1
8477923,1
8363342,1
8477921,1
8477803,1
7726974,1
7726977,1
7726976,1
7602417,1
8363023,1
8478555,1
7601231,1
8362944,1
7923969,1
8425246,1
8425254,1
8373310,1
7600705,1
7600484,1
8362735,1
7599895,1
7740195,1
7599917,1
7599922,1
7600190,1
7600259,1
8478611,1
7600031,1
7600041,1
7600062,1
7600063,1
7599657,1
7599660,1
7599667,1
7751759,1
8425303,1
7716721,1
8200057,1
7599490,1
8478608,1
7599557,1
7934171,1
7599585,1
8373743,1
7740406,1
7599613,1
8382983,1
7740179,1
7717144,1
7740215,1
7740217,1
7668832,1
7604583,1
8364139,1
7716718,1
7599224,1
7598972,1
8051865,1
7599007,1
8362667,1
7695558,1
7599058,1
7599074,1
8425206,1
8425210,1
8425212,1
8362496,1
7740165,1
7717128,1
7974667,1
7598638,1
7598675,1
7598678,1
7604579,1
7668842,1
7752817,1
7598458,1
8478597,1
8478598,1
8478600,1
8478603,1
7598504,1
7598763,1
7598535,1
7598541,1
7598542,1
7598543,1
7598545,1
7598549,1
7598555,1
7598812,1
8383209,1
8425203,1
8362484,1
7598581,1
7598583,1
7598839,1
8362489,1
8382979,1
8425344,1
8478593,1
8362439,1
8362440,1
8362441,1
7598282,1
8362444,1
8362447,1
8363992,1
7598307,1
7598238,1
8425195,1
8425465,1
7612920,1
8264822,1
7611927,1
7611793,1
7717417,1
7667407,1
7613915,1
7613916,1
7615169,1
7726997,1
7615154,1
7615145,1
7615148,1
7615043,1
8479962,1
8073125,1
8478319,1
7923947,1
7923946,1
8478128,1
8478112,1
8478009,1
7612464,1
7737488,1
7611261,1
8262439,1
7609854,1
8477924,1
8477905,1
8477897,1
7667892,1
7608028,1
7607962,1
8477878,1
7607635,1
7606793,1
7606801,1
8477851,1
7605632,1
7610622,1
7605140,1
8425457,1
8478740,1
7716927,1
8479103,1
7604643,1
7604224,1
7604272,1
7667351,1
8478585,1
8478575,1
8425173,1
8478439,1
8478387,1
8478151,1
8478542,1
8478406,1
8478179,1
8478150,1
8362029,1
8477818,1
8373320,1
8362146,1
7593792,1
7593771,1
8362076,1
7593742,1
8425247,1
8363159,1
8425291,1
7601712,1
8424975,1
7601105,1
7600416,1
8200143,1
7600365,1
7600137,1
7600146,1
7717147,1
7740194,1
7599946,1
7751761,1
8373607,1
7599976,1
7604585,1
7600032,1
7600038,1
8362681,1
7753679,1
8425228,1
8425230,1
7698717,1
7599663,1
7599426,1
7599431,1
7599439,1
7599695,1
7599714,1
7599485,1
7599486,1
7599749,1
7599504,1
7599782,1
7599569,1
7599587,1
7599853,1
8425217,1
8425220,1
7717135,1
7740176,1
7717139,1
7599398,1
7599399,1
7599403,1
8363308,1
8004909,1
8365111,1
7599163,1
7599191,1
7599197,1
7599198,1
8362596,1
7668840,1
8362605,1
7740281,1
7598969,1
8478605,1
7740310,1
7610536,1
7599282,1
7605172,1
7599036,1
7599040,1
7599299,1
8364997,1
7599048,1
7599305,1
7603916,1
7599054,1
7599313,1
7599320,1
7599322,1
8419805,1
7599327,1
7599333,1
7707629,1
7599087,1
8364786,1
7599092,1
8425207,1
8425209,1
7598592,1
7740163,1
7740168,1
7740170,1
7598609,1
8362518,1
8418077,1
7598633,1
8004908,1
8365390,1
7598689,1
7598448,1
7598708,1
8364407,1
8361856,1
8478596,1
8478599,1
7598498,1
7598518,1
7598540,1
7598797,1
8363999,1
7598821,1
8362473,1
8362480,1
8425201,1
7598582,1
7598419,1
8425076,1
7814269,1
7668873,1
7598295,1
7598297,1
7598335,1
7698696,1
7668874,1
8362428,1
8425197,1
8478590,1
7698655,1
